sku,location,on_hand_qty,reorder_point,as_of_date,inventory_value
SKU00001,ST001,142,76,2025-09-01,2666.76
SKU00002,ST008,42,24,2025-09-01,1283.1
SKU00003,ST015,230,85,2025-09-01,9549.6
SKU00004,ST022,102,48,2025-09-01,4445.16
SKU00005,ST029,264,138,2025-09-01,14081.76
SKU00006,ST036,116,40,2025-09-01,8145.52
SKU00007,ST043,200,84,2025-09-01,15352.0
SKU00008,ST050,200,96,2025-09-01,19346.0
SKU00009,ST005,202,135,2025-09-01,22323.02
SKU00010,ST012,52,20,2025-09-01,6814.6
SKU00011,ST019,338,150,2025-09-01,6584.24
SKU00012,ST026,170,100,2025-09-01,5140.8
SKU00013,ST033,356,124,2025-09-01,15179.84
SKU00014,ST040,29,12,2025-09-01,1518.73
SKU00015,ST047,276,145,2025-09-01,14219.52
SKU00016,ST002,300,96,2025-09-01,17310.0
SKU00017,ST009,262,210,2025-09-01,20878.78
SKU00018,ST016,63,30,2025-09-01,5168.52
SKU00019,ST023,446,132,2025-09-01,49233.94
SKU00020,ST030,68,48,2025-09-01,7135.24
SKU00021,ST037,448,195,2025-09-01,62715.52
SKU00022,ST044,44,12,2025-09-01,1037.08
SKU00023,ST051,352,222,2025-09-01,7765.12
SKU00024,ST006,150,60,2025-09-01,5149.5
SKU00025,ST013,322,172,2025-09-01,17339.7
SKU00026,ST020,74,42,2025-09-01,5283.6
SKU00027,ST027,216,80,2025-09-01,14193.36
SKU00028,ST034,136,64,2025-09-01,11659.28
SKU00029,ST041,540,282,2025-09-01,47012.4
SKU00030,ST048,58,20,2025-09-01,5436.92
SKU00031,ST003,190,80,2025-09-01,22847.5
SKU00032,ST010,250,120,2025-09-01,2320.0
SKU00033,ST017,158,105,2025-09-01,4766.86
SKU00034,ST024,84,32,2025-09-01,2749.32
SKU00035,ST031,324,144,2025-09-01,15850.08
SKU00036,ST038,204,120,2025-09-01,10430.52
SKU00037,ST045,288,100,2025-09-01,22616.64
SKU00038,ST052,72,30,2025-09-01,5520.24
SKU00039,ST007,266,140,2025-09-01,28986.02
SKU00040,ST014,100,32,2025-09-01,10819.0
SKU00041,ST021,218,174,2025-09-01,25898.4
SKU00042,ST028,21,10,2025-09-01,2178.96
SKU00043,ST035,432,128,2025-09-01,5076.0
SKU00044,ST042,102,72,2025-09-01,3079.38
SKU00045,ST049,380,165,2025-09-01,19418.0
SKU00046,ST004,87,24,2025-09-01,3727.95
SKU00047,ST011,342,216,2025-09-01,19487.16
SKU00048,ST018,200,80,2025-09-01,13564.0
SKU00049,ST025,278,148,2025-09-01,20880.58
SKU00050,ST032,32,18,2025-09-01,2835.2
SKU00051,ST039,202,75,2025-09-01,24147.08
SKU00052,ST046,170,80,2025-09-01,17520.2
SKU00053,ST001,472,246,2025-09-01,3804.32
SKU00054,ST008,102,35,2025-09-01,1524.9
SKU00055,ST015,180,76,2025-09-01,5947.2
SKU00056,ST022,300,144,2025-09-01,10416.0
SKU00057,ST029,338,225,2025-09-01,15162.68
SKU00058,ST036,42,16,2025-09-01,2806.02
SKU00059,ST043,310,138,2025-09-01,22670.3
SKU00060,ST050,68,40,2025-09-01,5838.48
SKU00061,ST005,218,76,2025-09-01,23905.88
SKU00062,ST012,116,48,2025-09-01,11924.8
SKU00063,ST019,256,135,2025-09-01,29880.32
SKU00064,ST026,150,48,2025-09-01,2035.5
SKU00065,ST033,172,138,2025-09-01,4458.24
SKU00066,ST040,52,25,2025-09-01,2224.56
SKU00067,ST047,418,124,2025-09-01,25748.8
SKU00068,ST002,136,96,2025-09-01,9985.12
SKU00069,ST009,310,135,2025-09-01,19821.4
SKU00070,ST016,29,8,2025-09-01,2128.02
SKU00071,ST023,332,210,2025-09-01,33047.28
SKU00072,ST030,250,100,2025-09-01,30125.0
SKU00073,ST037,232,124,2025-09-01,29225.04
SKU00074,ST044,63,36,2025-09-01,9149.49
SKU00075,ST051,189,70,2025-09-01,4072.95
SKU00076,ST006,204,96,2025-09-01,6474.96
SKU00077,ST013,402,210,2025-09-01,17402.58
SKU00078,ST020,44,15,2025-09-01,2228.16
SKU00079,ST027,171,72,2025-09-01,9056.16
SKU00080,ST034,100,48,2025-09-01,7480.0
SKU00081,ST041,292,195,2025-09-01,25850.76
SKU00082,ST048,74,28,2025-09-01,6921.96
SKU00083,ST003,297,132,2025-09-01,30418.74
SKU00084,ST010,102,60,2025-09-01,11305.68
SKU00085,ST017,494,172,2025-09-01,3383.9
SKU00086,ST024,58,24,2025-09-01,1509.74
SKU00087,ST031,247,130,2025-09-01,9121.71
SKU00088,ST038,200,64,2025-09-01,9854.0
SKU00089,ST045,352,282,2025-09-01,23471.36
SKU00090,ST052,84,40,2025-09-01,6692.28
SKU00091,ST007,405,120,2025-09-01,31918.05
SKU00092,ST014,170,120,2025-09-01,14494.2
SKU00093,ST021,242,105,2025-09-01,24115.3
SKU00094,ST028,72,20,2025-09-01,8963.28
SKU00095,ST035,323,204,2025-09-01,37810.38
SKU00096,ST042,300,120,2025-09-01,7620.0
SKU00097,ST049,188,100,2025-09-01,4784.6
SKU00098,ST004,21,12,2025-09-01,956.97
SKU00099,ST011,513,190,2025-09-01,28409.94
SKU00100,ST018,68,32,2025-09-01,3247.68
SKU00101,ST025,334,174,2025-09-01,26866.96
SKU00102,ST032,87,30,2025-09-01,6587.64
SKU00103,ST039,162,68,2025-09-01,17306.46
SKU00104,ST046,150,72,2025-09-01,19207.5
SKU00105,ST001,248,165,2025-09-01,24752.88
SKU00106,ST008,32,12,2025-09-01,487.68
SKU00107,ST015,284,126,2025-09-01,5660.12
SKU00108,ST022,136,80,2025-09-01,5962.24
SKU00109,ST029,426,148,2025-09-01,17623.62
SKU00110,ST036,102,42,2025-09-01,6939.06
SKU00111,ST043,238,125,2025-09-01,15598.52
SKU00112,ST050,250,80,2025-09-01,20672.5
SKU00113,ST005,308,246,2025-09-01,29417.08
SKU00114,ST012,42,20,2025-09-01,4559.1
SKU00115,ST019,392,116,2025-09-01,37157.68
SKU00116,ST026,204,144,2025-09-01,30455.16
SKU00117,ST033,518,225,2025-09-01,8588.44
SKU00118,ST040,116,32,2025-09-01,3618.04
SKU00119,ST047,314,198,2025-09-01,12324.5
SKU00120,ST002,100,40,2025-09-01,3985.0
SKU00121,ST009,142,76,2025-09-01,8443.32
SKU00122,ST016,52,30,2025-09-01,3594.24
SKU00123,ST023,500,185,2025-09-01,42815.0
SKU00124,ST030,102,48,2025-09-01,10344.84
SKU00125,ST037,264,138,2025-09-01,30460.32
SKU00126,ST044,29,10,2025-09-01,3411.56
SKU00127,ST051,152,64,2025-09-01,21435.04
SKU00128,ST006,200,96,2025-09-01,3232.0
SKU00129,ST013,202,135,2025-09-01,5623.68
SKU00130,ST020,63,24,2025-09-01,3012.66
SKU00131,ST027,270,120,2025-09-01,16629.3
SKU00132,ST034,170,100,2025-09-01,9254.8
SKU00133,ST041,356,124,2025-09-01,27636.28
SKU00134,ST048,44,18,2025-09-01,3765.08
SKU00135,ST003,228,120,2025-09-01,25631.76
SKU00136,ST010,300,96,2025-09-01,27231.0
SKU00137,ST017,262,210,2025-09-01,30504.66
SKU00138,ST024,74,35,2025-09-01,1304.62
SKU00139,ST031,378,112,2025-09-01,6505.38
SKU00140,ST038,68,48,2025-09-01,2711.84
SKU00141,ST045,448,195,2025-09-01,21571.2
SKU00142,ST052,58,16,2025-09-01,3538.58
SKU00143,ST007,304,192,2025-09-01,18118.4
SKU00144,ST014,150,60,2025-09-01,10978.5
SKU00145,ST021,322,172,2025-09-01,32869.76
SKU00146,ST028,84,48,2025-09-01,7499.52
SKU00147,ST035,486,180,2025-09-01,61430.4
SKU00148,ST042,136,64,2025-09-01,18663.28
SKU00149,ST049,540,282,2025-09-01,12992.4
SKU00150,ST004,72,25,2025-09-01,2352.96
SKU00151,ST011,142,60,2025-09-01,7058.82
SKU00152,ST018,250,120,2025-09-01,11102.5
SKU00153,ST025,158,105,2025-09-01,10617.6
SKU00154,ST032,21,8,2025-09-01,1281.84
SKU00155,ST039,256,114,2025-09-01,19863.04
SKU00156,ST046,204,120,2025-09-01,17074.8
SKU00157,ST001,288,100,2025-09-01,27184.32
SKU00158,ST008,87,36,2025-09-01,10158.12
SKU00159,ST015,218,115,2025-09-01,2544.06
SKU00160,ST022,100,32,2025-09-01,2832.0
SKU00161,ST029,218,174,2025-09-01,5842.4
SKU00162,ST036,32,15,2025-09-01,1744.96
SKU00163,ST043,364,108,2025-09-01,21909.16
SKU00164,ST050,102,72,2025-09-01,6377.04
SKU00165,ST005,380,165,2025-09-01,24901.4
SKU00166,ST012,102,28,2025-09-01,9154.5
SKU00167,ST019,294,186,2025-09-01,25948.44
SKU00168,ST026,200,80,2025-09-01,20570.0
SKU00169,ST033,278,148,2025-09-01,34441.42
SKU00170,ST040,42,24,2025-09-01,548.1
SKU00171,ST047,472,175,2025-09-01,10393.44
SKU00172,ST002,170,80,2025-09-01,6830.6
SKU00173,ST009,472,246,2025-09-01,18809.2
SKU00174,ST016,116,40,2025-09-01,8394.92
SKU00175,ST023,133,56,2025-09-01,10868.76
SKU00176,ST030,300,144,2025-09-01,30216.0
SKU00177,ST037,338,225,2025-09-01,26380.9
SKU00178,ST044,52,20,2025-09-01,5775.12
SKU00179,ST051,243,108,2025-09-01,31947.21
SKU00180,ST006,68,40,2025-09-01,792.2
SKU00181,ST013,218,76,2025-09-01,6291.48
SKU00182,ST020,29,12,2025-09-01,694.26
SKU00183,ST027,209,110,2025-09-01,9937.95
SKU00184,ST034,150,48,2025-09-01,7816.5
SKU00185,ST041,172,138,2025-09-01,11395.0
SKU00186,ST048,63,30,2025-09-01,4295.97
SKU00187,ST003,351,104,2025-09-01,30652.83
SKU00188,ST010,136,96,2025-09-01,13359.28
SKU00189,ST017,310,135,2025-09-01,39866.0
SKU00190,ST024,44,12,2025-09-01,5918.88
SKU00191,ST031,285,180,2025-09-01,4659.75
SKU00192,ST038,250,100,2025-09-01,7240.0
SKU00193,ST045,232,124,2025-09-01,8553.84
SKU00194,ST052,74,42,2025-09-01,3468.38
SKU00195,ST007,459,170,2025-09-01,25010.91
SKU00196,ST014,204,96,2025-09-01,13519.08
SKU00197,ST021,402,210,2025-09-01,26978.22
SKU00198,ST028,58,20,2025-09-01,4641.16
SKU00199,ST035,361,152,2025-09-01,41782.14
SKU00200,ST042,100,48,2025-09-01,9364.0
SKU00201,ST049,292,195,2025-09-01,38179.0
SKU00202,ST004,84,32,2025-09-01,1974.84
SKU00203,ST011,230,102,2025-09-01,7550.9
SKU00204,ST018,102,60,2025-09-01,4082.04
SKU00205,ST025,494,172,2025-09-01,26241.28
SKU00206,ST032,72,30,2025-09-01,4910.4
SKU00207,ST039,200,105,2025-09-01,14336.0
SKU00208,ST046,200,64,2025-09-01,14550.0
SKU00209,ST001,352,282,2025-09-01,37713.28
SKU00210,ST008,21,10,2025-09-01,2198.91
SKU00211,ST015,338,100,2025-09-01,43189.64
SKU00212,ST022,170,120,2025-09-01,1011.5
SKU00213,ST029,242,105,2025-09-01,3828.44
SKU00214,ST036,87,24,2025-09-01,3198.12
SKU00215,ST043,276,174,2025-09-01,11658.24
SKU00216,ST050,300,120,2025-09-01,19329.0
SKU00217,ST005,188,100,2025-09-01,12537.72
SKU00218,ST012,32,18,2025-09-01,2723.2
SKU00219,ST019,446,165,2025-09-01,41081.06
SKU00220,ST026,68,32,2025-09-01,5988.08
SKU00221,ST033,334,174,2025-09-01,35664.52
SKU00222,ST040,102,35,2025-09-01,13353.84
SKU00223,ST047,352,148,2025-09-01,6526.08
SKU00224,ST002,150,72,2025-09-01,4009.5
SKU00225,ST009,248,165,2025-09-01,10582.16
SKU00226,ST016,42,16,2025-09-01,2365.02
SKU00227,ST023,216,96,2025-09-01,11268.72
SKU00228,ST030,136,80,2025-09-01,8275.6
SKU00229,ST037,426,148,2025-09-01,32593.26
SKU00230,ST044,116,48,2025-09-01,9784.6
SKU00231,ST051,190,100,2025-09-01,20523.8
SKU00232,ST006,250,80,2025-09-01,34087.5
SKU00233,ST013,308,246,2025-09-01,4290.44
SKU00234,ST020,52,25,2025-09-01,1195.48
SKU00235,ST027,324,96,2025-09-01,10189.8
SKU00236,ST034,204,144,2025-09-01,9157.56
SKU00237,ST041,518,225,2025-09-01,23610.44
SKU00238,ST048,29,8,2025-09-01,2312.46
SKU00239,ST003,266,168,2025-09-01,17675.7
SKU00240,ST010,100,40,2025-09-01,8279.0
SKU00241,ST017,142,76,2025-09-01,15642.72
SKU00242,ST024,63,36,2025-09-01,8208.27
SKU00243,ST031,432,160,2025-09-01,49822.56
SKU00244,ST038,102,48,2025-09-01,1821.72
SKU00245,ST045,264,138,2025-09-01,7392.0
SKU00246,ST052,44,15,2025-09-01,1712.48
SKU00247,ST007,342,144,2025-09-01,14993.28
