sku,name,category,unit_cost,selling_price
SKU00001,Midan Beverages Product 0001,Beverages,18.78,43.31
SKU00002,Midan Dairy Product 0002,Dairy,30.55,60.73
SKU00003,Midan Snacks Product 0003,Snacks,41.52,97.32
SKU00004,Midan Grocery Product 0004,Grocery,43.58,99.24
SKU00005,Midan Personal Care Product 0005,Personal Care,53.34,127.17
SKU00006,Midan Frozen Product 0006,Frozen,70.22,163.43
SKU00007,Midan Household Product 0007,Household,76.76,205.74
SKU00008,Midan Baby Product 0008,Baby,96.73,190.53
SKU00009,Midan Fresh Product 0009,Fresh,110.51,213.89
SKU00010,Midan Pharmacy Product 0010,Pharmacy,131.05,246.9
SKU00011,Midan Beverages Product 0011,Beverages,19.48,37.41
SKU00012,Midan Dairy Product 0012,Dairy,30.24,65.7
SKU00013,Midan Snacks Product 0013,Snacks,42.64,92.31
SKU00014,Midan Grocery Product 0014,Grocery,52.37,88.04
SKU00015,Midan Personal Care Product 0015,Personal Care,51.52,101.07
SKU00016,Midan Frozen Product 0016,Frozen,57.7,129.13
SKU00017,Midan Household Product 0017,Household,79.69,165.56
SKU00018,Midan Baby Product 0018,Baby,82.04,204.85
SKU00019,Midan Fresh Product 0019,Fresh,110.39,198.88
SKU00020,Midan Pharmacy Product 0020,Pharmacy,104.93,235.8
SKU00021,Midan Beverages Product 0021,Beverages,139.99,278.31
SKU00022,Midan Dairy Product 0022,Dairy,23.57,46.49
SKU00023,Midan Snacks Product 0023,Snacks,22.06,51.32
SKU00024,Midan Grocery Product 0024,Grocery,34.33,87.68
SKU00025,Midan Personal Care Product 0025,Personal Care,53.85,123.09
SKU00026,Midan Frozen Product 0026,Frozen,71.4,126.76
SKU00027,Midan Household Product 0027,Household,65.71,150.29
SKU00028,Midan Baby Product 0028,Baby,85.73,189.4
SKU00029,Midan Fresh Product 0029,Fresh,87.06,224.6
SKU00030,Midan Pharmacy Product 0030,Pharmacy,93.74,196.61
SKU00031,Midan Beverages Product 0031,Beverages,120.25,255.12
SKU00032,Midan Dairy Product 0032,Dairy,9.28,21.72
SKU00033,Midan Snacks Product 0033,Snacks,30.17,69.15
SKU00034,Midan Grocery Product 0034,Grocery,32.73,85.67
SKU00035,Midan Personal Care Product 0035,Personal Care,48.92,92.87
SKU00036,Midan Frozen Product 0036,Frozen,51.13,119.1
SKU00037,Midan Household Product 0037,Household,78.53,153.52
SKU00038,Midan Baby Product 0038,Baby,76.67,143.64
SKU00039,Midan Fresh Product 0039,Fresh,108.97,187.43
SKU00040,Midan Pharmacy Product 0040,Pharmacy,108.19,193.87
SKU00041,Midan Beverages Product 0041,Beverages,118.8,258.75
SKU00042,Midan Dairy Product 0042,Dairy,103.76,245.18
SKU00043,Midan Snacks Product 0043,Snacks,11.75,23.16
SKU00044,Midan Grocery Product 0044,Grocery,30.19,58.43
SKU00045,Midan Personal Care Product 0045,Personal Care,51.1,80.65
SKU00046,Midan Frozen Product 0046,Frozen,42.85,110.66
SKU00047,Midan Household Product 0047,Household,56.98,133.31
SKU00048,Midan Baby Product 0048,Baby,67.82,166.81
SKU00049,Midan Fresh Product 0049,Fresh,75.11,173.08
SKU00050,Midan Pharmacy Product 0050,Pharmacy,88.6,192.49
SKU00051,Midan Beverages Product 0051,Beverages,119.54,229.36
SKU00052,Midan Dairy Product 0052,Dairy,103.06,225.28
SKU00053,Midan Snacks Product 0053,Snacks,8.06,14.88
SKU00054,Midan Grocery Product 0054,Grocery,14.95,37.32
SKU00055,Midan Personal Care Product 0055,Personal Care,33.04,65.29
SKU00056,Midan Frozen Product 0056,Frozen,34.72,81.97
SKU00057,Midan Household Product 0057,Household,44.86,117.94
SKU00058,Midan Baby Product 0058,Baby,66.81,149.12
SKU00059,Midan Fresh Product 0059,Fresh,73.13,149.73
