po_number,supplier,sku,qty_ordered,qty_received,unit_cost,order_date,expected_date,received_date,location,fill_rate
PO00001-1,SUP001,SKU00001,266,266,18.78,2026-05-09,2026-05-16,2026-05-16,ST001,1.0
PO00001-2,SUP001,SKU00001,266,266,18.78,2026-06-03,2026-06-10,2026-06-10,ST001,1.0
PO00001-3,SUP001,SKU00001,266,266,18.78,2026-06-28,2026-07-05,2026-07-05,ST001,1.0
PO00002-1,SUP004,SKU00002,56,56,30.55,2026-05-10,2026-05-18,2026-05-18,ST008,1.0
PO00002-2,SUP004,SKU00002,56,56,30.55,2026-06-04,2026-06-12,2026-06-12,ST008,1.0
PO00002-3,SUP004,SKU00002,56,56,30.55,2026-06-29,2026-07-07,2026-07-07,ST008,1.0
PO00003-1,SUP007,SKU00003,238,238,41.52,2026-05-11,2026-05-20,2026-05-20,ST015,1.0
PO00003-2,SUP007,SKU00003,238,238,41.52,2026-06-05,2026-06-14,2026-06-14,ST015,1.0
PO00003-3,SUP007,SKU00003,238,238,41.52,2026-06-30,2026-07-09,2026-07-09,ST015,1.0
PO00004-1,SUP010,SKU00004,168,168,43.58,2026-05-12,2026-05-22,2026-05-22,ST022,1.0
PO00004-2,SUP010,SKU00004,168,168,43.58,2026-06-06,2026-06-16,2026-06-16,ST022,1.0
PO00004-3,SUP010,SKU00004,168,168,43.58,2026-07-01,2026-07-11,2026-07-11,ST022,1.0
PO00005-1,SUP013,SKU00005,322,322,53.34,2026-05-13,2026-05-20,2026-05-20,ST029,1.0
PO00005-2,SUP013,SKU00005,322,322,53.34,2026-06-07,2026-06-14,2026-06-14,ST029,1.0
PO00005-3,SUP013,SKU00005,322,322,53.34,2026-07-02,2026-07-09,2026-07-09,ST029,1.0
PO00006-1,SUP016,SKU00006,112,112,70.22,2026-05-14,2026-05-22,2026-05-22,ST036,1.0
PO00006-2,SUP016,SKU00006,112,112,70.22,2026-06-08,2026-06-16,2026-06-16,ST036,1.0
PO00006-3,SUP016,SKU00006,112,112,70.22,2026-07-03,2026-07-11,2026-07-11,ST036,1.0
PO00007-1,SUP019,SKU00007,294,294,76.76,2026-05-15,2026-05-24,2026-05-24,ST043,1.0
PO00007-2,SUP019,SKU00007,294,294,76.76,2026-06-09,2026-06-18,2026-06-18,ST043,1.0
PO00007-3,SUP019,SKU00007,294,294,76.76,2026-07-04,2026-07-13,2026-07-13,ST043,1.0
PO00008-1,SUP022,SKU00008,224,224,96.73,2026-05-09,2026-05-19,2026-05-19,ST050,1.0
PO00008-2,SUP022,SKU00008,224,224,96.73,2026-06-03,2026-06-13,2026-06-13,ST050,1.0
PO00008-3,SUP022,SKU00008,224,224,96.73,2026-06-28,2026-07-08,2026-07-08,ST050,1.0
PO00009-1,SUP025,SKU00009,378,378,110.51,2026-05-10,2026-05-17,2026-05-17,ST005,1.0
PO00009-2,SUP025,SKU00009,378,378,110.51,2026-06-04,2026-06-11,2026-06-11,ST005,1.0
PO00009-3,SUP025,SKU00009,378,378,110.51,2026-06-29,2026-07-06,2026-07-06,ST005,1.0
PO00010-1,SUP028,SKU00010,70,70,131.05,2026-05-11,2026-05-19,2026-05-19,ST012,1.0
PO00010-2,SUP028,SKU00010,70,70,131.05,2026-06-05,2026-06-13,2026-06-13,ST012,1.0
PO00010-3,SUP028,SKU00010,70,70,131.05,2026-06-30,2026-07-08,2026-07-08,ST012,1.0
PO00011-1,SUP031,SKU00011,350,350,19.48,2026-05-12,2026-05-21,2026-05-21,ST019,1.0
PO00011-2,SUP031,SKU00011,350,350,19.48,2026-06-06,2026-06-15,2026-06-15,ST019,1.0
PO00011-3,SUP031,SKU00011,350,350,19.48,2026-07-01,2026-07-10,2026-07-10,ST019,1.0
PO00012-1,SUP034,SKU00012,280,280,30.24,2026-05-13,2026-05-23,2026-05-23,ST026,1.0
PO00012-2,SUP034,SKU00012,280,280,30.24,2026-06-07,2026-06-17,2026-06-17,ST026,1.0
PO00012-3,SUP034,SKU00012,280,280,30.24,2026-07-02,2026-07-12,2026-07-15,ST026,1.0
