date,sku,location,quantity,unit_price,total_amount
2026-03-02,SKU01001,ST033,26,169.64,4410.64
2026-03-02,SKU01002,ST040,3,181.02,543.06
2026-03-02,SKU01003,ST047,16,215.88,3454.08
2026-03-02,SKU01004,ST002,11,202.43,2226.73
2026-03-02,SKU01005,ST009,33,277.72,9164.76
2026-03-02,SKU01006,ST016,7,11.06,77.42
2026-03-02,SKU01007,ST023,21,49.91,1048.11
2026-03-02,SKU01008,ST030,16,53.61,857.76
2026-03-02,SKU01009,ST037,35,73.8,2583.0
2026-03-02,SKU01010,ST044,4,127.52,510.08
2026-03-02,SKU01011,ST051,24,122.11,2930.64
2026-03-02,SKU01012,ST006,19,162.48,3087.12
2026-03-02,SKU01013,ST013,43,171.39,7369.77
2026-03-02,SKU01014,ST020,8,207.35,1658.8
2026-03-02,SKU01015,ST027,26,202.63,5268.38
2026-03-02,SKU01016,ST034,25,271.34,6783.5
2026-03-02,SKU01017,ST041,44,26.09,1147.96
2026-03-02,SKU01018,ST048,5,59.7,298.5
2026-03-02,SKU01019,ST003,32,66.76,2136.32
2026-03-02,SKU01020,ST010,8,98.59,788.72
2026-03-02,SKU01021,ST017,17,102.86,1748.62
2026-03-02,SKU01022,ST024,2,136.97,273.94
2026-03-02,SKU01023,ST031,34,187.59,6378.06
2026-03-02,SKU01024,ST038,13,214.4,2787.2
2026-03-02,SKU01025,ST045,23,227.9,5241.7
2026-03-02,SKU01026,ST052,6,276.15,1656.9
2026-03-02,SKU01027,ST007,16,291.5,4664.0
2026-03-02,SKU01028,ST014,16,51.89,830.24
2026-03-02,SKU01029,ST021,25,74.72,1868.0
2026-03-02,SKU01030,ST028,3,70.17,210.51
2026-03-02,SKU01031,ST035,19,134.14,2548.66
2026-03-02,SKU01032,ST042,18,139.91,2518.38
2026-03-02,SKU01033,ST049,32,160.57,5138.24
2026-03-02,SKU01034,ST004,7,210.38,1472.66
2026-03-02,SKU01035,ST011,21,208.18,4371.78
2026-03-02,SKU01036,ST018,24,210.22,5045.28
2026-03-02,SKU01037,ST025,34,267.96,9110.64
2026-03-02,SKU01038,ST032,4,29.99,119.96
2026-03-02,SKU01039,ST039,27,49.32,1331.64
2026-03-02,SKU01040,ST046,8,90.07,720.56
2026-03-02,SKU01041,ST001,41,92.9,3808.9
2026-03-02,SKU01042,ST008,8,118.16,945.28
2026-03-02,SKU01043,ST015,29,144.27,4183.83
2026-03-02,SKU01044,ST022,13,139.05,1807.65
2026-03-02,SKU01045,ST029,43,168.61,7250.23
2026-03-02,SKU01046,ST036,5,207.67,1038.35
2026-03-02,SKU01047,ST043,36,268.98,9683.28
2026-03-02,SKU01048,ST050,16,233.1,3729.6
2026-03-02,SKU01049,ST005,43,32.5,1397.5
2026-03-02,SKU01050,ST012,2,44.22,88.44
2026-03-02,SKU01051,ST019,14,104.7,1465.8
2026-03-02,SKU01052,ST026,18,104.13,1874.34
2026-03-02,SKU01053,ST033,21,131.8,2767.8
2026-03-02,SKU01054,ST040,6,175.33,1051.98
2026-03-02,SKU01055,ST047,17,167.76,2851.92
2026-03-02,SKU01056,ST002,24,174.96,4199.04
2026-03-02,SKU01057,ST009,24,202.46,4859.04
2026-03-02,SKU01058,ST016,3,259.0,777.0
2026-03-02,SKU01059,ST023,22,18.22,400.84
2026-03-02,SKU01060,ST030,8,56.55,452.4
2026-03-02,SKU01061,ST037,30,62.64,1879.2
2026-03-02,SKU01062,ST044,7,82.04,574.28
2026-03-02,SKU01063,ST051,24,109.75,2634.0
2026-03-02,SKU01064,ST006,12,149.59,1795.08
2026-03-02,SKU01065,ST013,32,159.37,5099.84
2026-03-02,SKU01066,ST020,4,186.12,744.48
2026-03-02,SKU01067,ST027,31,230.39,7142.09
2026-03-02,SKU01068,ST034,16,231.08,3697.28
2026-03-02,SKU01069,ST041,34,259.71,8830.14
2026-03-02,SKU01070,ST048,8,20.13,161.04
2026-03-02,SKU01071,ST003,32,54.78,1752.96
2026-03-02,SKU01072,ST010,18,98.57,1774.26
2026-03-02,SKU01073,ST017,41,102.71,4211.11
2026-03-02,SKU01074,ST024,5,120.35,601.75
2026-03-02,SKU01075,ST031,14,149.33,2090.62
2026-03-02,SKU01076,ST038,24,168.23,4037.52
2026-03-02,SKU01077,ST045,42,212.74,8935.08
2026-03-02,SKU01078,ST052,2,197.86,395.72
2026-03-02,SKU01079,ST007,17,238.46,4053.82
2026-03-02,SKU01080,ST014,7,30.64,214.48
2026-03-02,SKU01081,ST021,20,48.0,960.0
2026-03-02,SKU01082,ST028,6,78.79,472.74
2026-03-02,SKU01083,ST035,20,101.2,2024.0
2026-03-02,SKU01084,ST042,12,121.79,1461.48
2026-03-02,SKU01085,ST049,22,145.43,3199.46
2026-03-02,SKU01086,ST004,3,164.05,492.15
2026-03-02,SKU01087,ST011,26,194.78,5064.28
2026-03-02,SKU01088,ST018,15,212.4,3186.0
2026-03-02,SKU01089,ST025,24,239.53,5748.72
2026-03-02,SKU01090,ST032,7,287.19,2010.33
2026-03-02,SKU01091,ST039,27,17.94,484.38
2026-03-02,SKU01092,ST046,21,48.5,1018.5
2026-03-02,SKU01093,ST001,31,63.46,1967.26
2026-03-02,SKU01094,ST008,4,92.84,371.36
2026-03-02,SKU01095,ST015,34,110.9,3770.6
2026-03-02,SKU01096,ST022,24,151.3,3631.2
2026-03-02,SKU01097,ST029,33,170.87,5638.71
2026-03-02,SKU01098,ST036,8,224.69,1797.52
2026-03-02,SKU01099,ST043,36,207.44,7467.84
2026-03-02,SKU01100,ST050,7,254.29,1780.03
2026-03-02,SKU01101,ST005,40,244.64,9785.6
2026-03-02,SKU01102,ST012,5,39.66,198.3
2026-03-02,SKU01103,ST019,15,60.68,910.2
2026-03-02,SKU01104,ST026,12,76.9,922.8
2026-03-02,SKU01105,ST033,41,104.66,4291.06
2026-03-02,SKU01106,ST040,2,148.07,296.14
2026-03-02,SKU01107,ST047,20,136.77,2735.4
2026-03-02,SKU01108,ST002,15,175.85,2637.75
2026-03-02,SKU01109,ST009,50,186.63,9331.5
2026-03-02,SKU01110,ST016,6,187.25,1123.5
2026-03-02,SKU01111,ST023,23,221.89,5103.47
2026-03-02,SKU01112,ST030,21,27.39,575.19
2026-03-02,SKU01113,ST037,21,47.72,1002.12
2026-03-02,SKU01114,ST044,3,61.68,185.04
2026-03-02,SKU01115,ST051,29,97.19,2818.51
2026-03-02,SKU01116,ST006,24,118.18,2836.32
2026-03-02,SKU01117,ST013,23,144.74,3329.02
2026-03-02,SKU01118,ST020,7,160.0,1120.0
2026-03-02,SKU01119,ST027,31,194.02,6014.62
2026-03-02,SKU01120,ST034,7,182.53,1277.71
2026-03-02,SKU01121,ST041,30,218.29,6548.7
2026-03-02,SKU01122,ST048,4,221.25,885.0
2026-03-02,SKU01123,ST003,32,44.82,1434.24
2026-03-02,SKU01124,ST010,12,46.98,563.76
2026-03-02,SKU01125,ST017,31,89.08,2761.48
2026-03-02,SKU01126,ST024,8,102.77,822.16
2026-03-02,SKU01127,ST031,15,132.93,1993.95
2026-03-02,SKU01128,ST038,15,160.45,2406.75
2026-03-02,SKU01129,ST045,39,182.88,7132.32
2026-03-02,SKU01130,ST052,5,166.66,833.3
2026-03-02,SKU01131,ST007,18,202.12,3638.16
2026-03-02,SKU01132,ST014,21,213.33,4479.93
2026-03-02,SKU01133,ST021,40,12.87,514.8
2026-03-02,SKU01134,ST028,2,43.09,86.18
2026-03-02,SKU01135,ST035,24,74.63,1791.12
2026-03-02,SKU01136,ST042,23,89.44,2057.12
2026-03-02,SKU01137,ST049,41,130.11,5334.51
2026-03-02,SKU01138,ST004,6,127.32,763.92
2026-03-02,SKU01139,ST011,26,154.84,4025.84
2026-03-02,SKU01140,ST018,7,165.86,1161.02
2026-03-02,SKU01141,ST025,19,187.06,3554.14
2026-03-02,SKU01142,ST032,3,234.47,703.41
2026-03-02,SKU01143,ST039,33,220.25,7268.25
2026-03-02,SKU01144,ST046,12,40.61,487.32
2026-03-02,SKU01145,ST001,22,55.47,1220.34
2026-03-02,SKU01146,ST008,7,82.4,576.8
2026-03-02,SKU01147,ST015,34,80.92,2751.28
