code,name,format,region
ST001,Midan Dubai 01,Hypermarket,Dubai
ST002,Midan Abu Dhabi 02,Supermarket,Abu Dhabi
ST003,Midan Sharjah 03,Convenience,Sharjah
ST004,Midan Northern Emirates 04,Express,Northern Emirates
ST005,Midan Dubai 05,Hypermarket,Dubai
ST006,Midan Abu Dhabi 06,Supermarket,Abu Dhabi
ST007,Midan Sharjah 07,Convenience,Sharjah
ST008,Midan Northern Emirates 08,Express,Northern Emirates
ST009,Midan Dubai 09,Hypermarket,Dubai
ST010,Midan Abu Dhabi 10,Supermarket,Abu Dhabi
ST011,Midan Sharjah 11,Convenience,Sharjah
ST012,Midan Northern Emirates 12,Express,Northern Emirates
ST013,Midan Dubai 13,Hypermarket,Dubai
ST014,Midan Abu Dhabi 14,Supermarket,Abu Dhabi
ST015,Midan Sharjah 15,Convenience,Sharjah
ST016,Midan Northern Emirates 16,Express,Northern Emirates
ST017,Midan Dubai 17,Hypermarket,Dubai
ST018,Midan Abu Dhabi 18,Supermarket,Abu Dhabi
ST019,Midan Sharjah 19,Convenience,Sharjah
ST020,Midan Northern Emirates 20,Express,Northern Emirates
ST021,Midan Dubai 21,Hypermarket,Dubai
ST022,Midan Abu Dhabi 22,Supermarket,Abu Dhabi
ST023,Midan Sharjah 23,Convenience,Sharjah
ST024,Midan Northern Emirates 24,Express,Northern Emirates
ST025,Midan Dubai 25,Hypermarket,Dubai
ST026,Midan Abu Dhabi 26,Supermarket,Abu Dhabi
ST027,Midan Sharjah 27,Convenience,Sharjah
ST028,Midan Northern Emirates 28,Express,Northern Emirates
ST029,Midan Dubai 29,Hypermarket,Dubai
ST030,Midan Abu Dhabi 30,Supermarket,Abu Dhabi
ST031,Midan Sharjah 31,Convenience,Sharjah
ST032,Midan Northern Emirates 32,Express,Northern Emirates
ST033,Midan Dubai 33,Hypermarket,Dubai
ST034,Midan Abu Dhabi 34,Supermarket,Abu Dhabi
ST035,Midan Sharjah 35,Convenience,Sharjah
ST036,Midan Northern Emirates 36,Express,Northern Emirates
ST037,Midan Dubai 37,Hypermarket,Dubai
ST038,Midan Abu Dhabi 38,Supermarket,Abu Dhabi
ST039,Midan Sharjah 39,Convenience,Sharjah
ST040,Midan Northern Emirates 40,Express,Northern Emirates
ST041,Midan Dubai 41,Hypermarket,Dubai
ST042,Midan Abu Dhabi 42,Supermarket,Abu Dhabi
ST043,Midan Sharjah 43,Convenience,Sharjah
ST044,Midan Northern Emirates 44,Express,Northern Emirates
ST045,Midan Dubai 45,Hypermarket,Dubai
ST046,Midan Abu Dhabi 46,Supermarket,Abu Dhabi
ST047,Midan Sharjah 47,Convenience,Sharjah
ST048,Midan Northern Emirates 48,Express,Northern Emirates
ST049,Midan Dubai 49,Hypermarket,Dubai
ST050,Midan Abu Dhabi 50,Supermarket,Abu Dhabi
ST051,Midan Sharjah 51,Convenience,Sharjah
ST052,Midan Northern Emirates 52,Express,Northern Emirates
