code,name,specialization
SUP001,Midan Supplier 001,Local
SUP002,Midan Supplier 002,GCC
SUP003,Midan Supplier 003,International
SUP004,Midan Supplier 004,Local
SUP005,Midan Supplier 005,GCC
SUP006,Midan Supplier 006,International
SUP007,Midan Supplier 007,Local
SUP008,Midan Supplier 008,GCC
SUP009,Midan Supplier 009,International
SUP010,Midan Supplier 010,Local
SUP011,Midan Supplier 011,GCC
SUP012,Midan Supplier 012,International
SUP013,Midan Supplier 013,Local
SUP014,Midan Supplier 014,GCC
SUP015,Midan Supplier 015,International
SUP016,Midan Supplier 016,Local
SUP017,Midan Supplier 017,GCC
SUP018,Midan Supplier 018,International
SUP019,Midan Supplier 019,Local
SUP020,Midan Supplier 020,GCC
SUP021,Midan Supplier 021,International
SUP022,Midan Supplier 022,Local
SUP023,Midan Supplier 023,GCC
SUP024,Midan Supplier 024,International
SUP025,Midan Supplier 025,Local
SUP026,Midan Supplier 026,GCC
SUP027,Midan Supplier 027,International
SUP028,Midan Supplier 028,Local
SUP029,Midan Supplier 029,GCC
SUP030,Midan Supplier 030,International
SUP031,Midan Supplier 031,Local
SUP032,Midan Supplier 032,GCC
SUP033,Midan Supplier 033,International
SUP034,Midan Supplier 034,Local
SUP035,Midan Supplier 035,GCC
SUP036,Midan Supplier 036,International
SUP037,Midan Supplier 037,Local
SUP038,Midan Supplier 038,GCC
SUP039,Midan Supplier 039,International
SUP040,Midan Supplier 040,Local
SUP041,Midan Supplier 041,GCC
SUP042,Midan Supplier 042,International
SUP043,Midan Supplier 043,Local
SUP044,Midan Supplier 044,GCC
SUP045,Midan Supplier 045,International
SUP046,Midan Supplier 046,Local
SUP047,Midan Supplier 047,GCC
SUP048,Midan Supplier 048,International
SUP049,Midan Supplier 049,Local
SUP050,Midan Supplier 050,GCC
SUP051,Midan Supplier 051,International
SUP052,Midan Supplier 052,Local
SUP053,Midan Supplier 053,GCC
SUP054,Midan Supplier 054,International
SUP055,Midan Supplier 055,Local
SUP056,Midan Supplier 056,GCC
SUP057,Midan Supplier 057,International
SUP058,Midan Supplier 058,Local
SUP059,Midan Supplier 059,GCC
SUP060,Midan Supplier 060,International
SUP061,Midan Supplier 061,Local
SUP062,Midan Supplier 062,GCC
SUP063,Midan Supplier 063,International
SUP064,Midan Supplier 064,Local
SUP065,Midan Supplier 065,GCC
SUP066,Midan Supplier 066,International
SUP067,Midan Supplier 067,Local
SUP068,Midan Supplier 068,GCC
SUP069,Midan Supplier 069,International
SUP070,Midan Supplier 070,Local
SUP071,Midan Supplier 071,GCC
SUP072,Midan Supplier 072,International
SUP073,Midan Supplier 073,Local
SUP074,Midan Supplier 074,GCC
SUP075,Midan Supplier 075,International
SUP076,Midan Supplier 076,Local
SUP077,Midan Supplier 077,GCC
SUP078,Midan Supplier 078,International
SUP079,Midan Supplier 079,Local
SUP080,Midan Supplier 080,GCC
